"Date","Price","High","Low","Close","Adj.Close","Volume","Price.bracket"
2020-04-01,39.27,40.52,38.220001,39.580002,39.580002,2724500,"low"
2020-04-02,38.970001,40.57,34,34.82,34.82,4561800,"low"
2020-04-03,34.560001,36.439999,34.130001,34.27,34.27,2860500,"low"
2020-04-06,36.049999,39.880001,36,39.689999,39.689999,3143100,"low"
2020-04-07,41.540001,43.860001,40.810001,42.09,42.09,2941700,"low"
2020-04-08,42.740002,44.834999,42.299999,43.740002,43.740002,1718900,"low"
2020-04-09,44.950001,46.98,44.169998,45.09,45.09,3077900,"low"
2020-04-13,41.349998,43.23,38.52,39.68,39.68,6369300,"low"
2020-04-14,41.5,43.119999,40.93,41.799999,41.799999,5341900,"low"
2020-04-15,40,40.810001,39.200001,40.349998,40.349998,2940500,"low"
2020-04-16,40.77,40.959999,39.224998,40.299999,40.299999,3507900,"low"
2020-04-17,41.75,42.66,40.875,42.5,42.5,4342600,"low"
2020-04-20,41.380001,43.799999,41,42.5,42.5,2750400,"low"
2020-04-21,41.52,41.799999,39.509998,40.93,40.93,3977300,"low"
2020-04-22,41.950001,43.84,41.404999,43.34,43.34,4008100,"low"
2020-04-23,43.860001,44.34,41.18,42.049999,42.049999,2181800,"low"
2020-04-24,42.5,44.650002,42.209999,43.52,43.52,2435400,"low"
2020-04-27,42.82,47.209999,42.82,46.68,46.68,3006100,"low"
2020-04-28,48.09,48.959999,44.939999,46.330002,46.330002,3955200,"low"
2020-04-29,47.799999,48.490002,46.450001,47.470001,47.470001,2323300,"low"
2020-04-30,47.299999,48.130001,45.650002,47.790001,47.790001,2850200,"low"
2020-05-01,46.41,47.200001,44.639999,45.490002,45.490002,2612400,"low"
2020-05-04,44.59,46.790001,43.849998,46.630001,46.630001,2159800,"low"
2020-05-05,47.549999,48.740002,47.25,47.790001,47.790001,2537500,"low"
2020-05-06,48.290001,51.189999,47.610001,50.830002,50.830002,5853500,"low"
2020-05-07,48,49.5,43.259998,44.889999,44.889999,9368100,"low"
2020-05-08,45.84,47.52,45.029999,46.82,46.82,6578800,"low"
2020-05-11,46.139999,47.400002,44.601002,46.790001,46.790001,6584700,"low"
2020-05-12,46.950001,64.940002,46.599998,60.389999,60.389999,46200800,"low"
2020-05-13,58.509998,59.299999,55.73,58.139999,58.139999,13826900,"low"
2020-05-14,56.689999,57.150002,52,54.720001,54.720001,13408400,"low"
2020-05-15,54.560001,56.740002,52.77,54.970001,54.970001,9286200,"low"
2020-05-18,55,58.689999,54.993999,57.669998,57.669998,5944300,"low"
2020-05-19,57.25,59.27,55.75,57.43,57.43,3712300,"low"
2020-05-20,58.259998,58.790001,57.18,57.52,57.52,7557200,"low"
2020-05-21,57.540001,59.040001,55.91,56.34,56.34,5024500,"low"
2020-05-22,56.48,57.400002,55.549999,57.349998,57.349998,2086900,"low"
2020-05-26,57.98,58.490002,57.02,57.27,57.27,2712600,"low"
2020-05-27,57.75,57.75,54.060001,55.360001,55.360001,3272900,"low"
2020-05-28,55.41,55.68,52.66,52.830002,52.830002,3113900,"low"
2020-05-29,53,57.810001,52.789001,56.740002,56.740002,11509600,"low"
2020-06-01,56.529999,59.110001,55.900002,58.75,58.75,2718000,"low"
2020-06-02,58.68,59.080002,56.700001,57.470001,57.470001,2442600,"low"
2020-06-03,58.259998,59.150002,58.02,58.490002,58.490002,1961300,"low"
2020-06-04,58.41,59.470001,56.700001,57.52,57.52,1820700,"low"
2020-06-05,58.93,64.190002,57.689999,60.529999,60.529999,10064900,"low"
2020-06-08,60.830002,61,55.080002,57.5,57.5,7302700,"low"
2020-06-09,56.700001,59.040001,56.610001,57.919998,57.919998,2298900,"low"
2020-06-10,58,60,55.049999,59.049999,59.049999,18207700,"low"
2020-06-11,62.110001,63.880001,61.049999,61.790001,61.790001,20306100,"low"
2020-06-12,62.66,63.630001,58.939999,60.380001,60.380001,7281700,"low"
2020-06-15,59.900002,61.200001,59.259998,61,61,4572200,"low"
2020-06-16,63.299999,63.939999,62.75,63.34,63.34,4013000,"low"
2020-06-17,64.550003,65.470001,63.599998,64.459999,64.459999,3099000,"low"
2020-06-18,64,64.239998,63.310001,63.77,63.77,3470100,"low"
2020-06-19,64.5,64.989998,63.006001,63.880001,63.880001,2998900,"low"
2020-06-22,64.860001,66.419998,64.269997,66,66,2702000,"low"
2020-06-23,67,70.220001,66.760002,70.059998,70.059998,3742500,"low"
2020-06-24,68.830002,69.260002,67.010002,68.449997,68.449997,3687600,"medium"
2020-06-25,68,69.059998,67.400002,68.949997,68.949997,2526800,"medium"
2020-06-26,69.629997,69.639999,68.290001,69.050003,69.050003,4836200,"medium"
2020-06-29,69.489998,70.260002,68.720001,69.720001,69.720001,1789300,"medium"
2020-06-30,68.949997,70.879997,68.629997,70.300003,70.300003,2259700,"medium"
2020-07-01,70.5,70.699997,68.688004,69.129997,69.129997,2666900,"medium"
2020-07-02,70.209999,70.669998,69.621002,69.870003,69.870003,1472500,"medium"
2020-07-06,71.550003,73.43,71.050003,72.959999,72.959999,4692800,"medium"
2020-07-07,72,72.830002,71.07,71.07,71.07,3843300,"medium"
2020-07-08,72,72,70.18,70.900002,70.900002,1872000,"medium"
2020-07-09,71.169998,72.114998,70.360001,71.470001,71.470001,936700,"medium"
2020-07-10,71,71.959999,70.410004,71.870003,71.870003,710200,"medium"
2020-07-13,72,72.5,69.029999,69.519997,69.519997,2365700,"medium"
2020-07-14,69.230003,70.199997,68.650002,69.970001,69.970001,1631800,"medium"
2020-07-15,70.400002,70.775002,69,69.43,69.43,2659500,"medium"
2020-07-16,69.279999,70.43,68.730003,69.769997,69.769997,1786700,"medium"
2020-07-17,69.599998,70.209999,69.190002,70.150002,70.150002,605000,"medium"
2020-07-20,70.379997,70.900002,69.970001,70.050003,70.050003,962700,"medium"
2020-07-21,71.709999,71.900002,70.370003,70.959999,70.959999,1109500,"medium"
2020-07-22,70.720001,71.580002,69.900002,70.769997,70.769997,681900,"medium"
2020-07-23,71.339996,71.339996,69,69.489998,69.489998,995000,"medium"
2020-07-24,69,69.75,68.410004,68.849998,68.849998,1466800,"medium"
2020-07-27,71.120003,71.605003,70.43,71,71,1816800,"medium"
2020-07-28,71.209999,71.699997,70.099998,70.099998,70.099998,850300,"medium"
2020-07-29,71.5,71.779999,70.720001,71.080002,71.080002,2334800,"medium"
2020-07-30,70.099998,70.949997,69.589996,70.199997,70.199997,1160400,"medium"
2020-07-31,71.5,72.260002,71.139999,72.239998,72.239998,1814500,"medium"
2020-08-03,72.610001,74.68,72.5,73.550003,73.550003,1214500,"high"
2020-08-04,72.410004,73.449997,72.309998,72.989998,72.989998,657600,"high"
2020-08-05,73.480003,75.569,73.379997,74.379997,74.379997,1118300,"high"
2020-08-06,74.610001,75.849998,74.610001,75,75,579800,"high"
2020-08-07,74.75,76.105003,74.540001,75.010002,75.010002,1133100,"high"
2020-08-10,75.330002,75.330002,74.019997,74.860001,74.860001,515500,"high"
2020-08-11,75,75.290001,73.400002,73.75,73.75,697100,"high"
2020-08-12,77.099998,78.379997,76.309998,77.260002,77.260002,2001200,"high"
2020-08-13,78.199997,78.800003,76.669998,77.639999,77.639999,1299000,"high"
2020-08-14,77.660004,78.18,76.459999,76.75,76.75,1107300,"high"
2020-08-17,76.75,78.139999,76.75,77.559998,77.559998,801400,"high"
2020-08-18,78.629997,79.110001,78.059998,78.199997,78.199997,1256700,"high"
2020-08-19,78.809998,79.18,77.760002,78.199997,78.199997,1492100,"high"
2020-08-20,77.68,77.68,76.269997,77.040001,77.040001,1288900,"high"
2020-08-21,77.5,77.610001,75.879997,76.330002,76.330002,2057000,"high"
2020-08-24,77,77.184998,74.419998,74.830002,74.830002,2345400,"high"
2020-08-25,74.940002,75.379997,74.510002,74.769997,74.769997,1525000,"high"
2020-08-26,74.699997,75.529999,74.599998,75,75,3614000,"high"
2020-08-27,75.360001,75.589996,72.660004,73.459999,73.459999,1265000,"high"
2020-08-28,73.389999,73.800003,72.93,73,73,1217800,"high"
2020-08-31,73.580002,73.730003,72.209999,72.349998,72.349998,1789600,"high"
2020-09-01,73.199997,73.410004,72.279999,72.489998,72.489998,2357100,"high"
2020-09-02,73.550003,73.550003,71.510002,71.839996,71.839996,2893100,"high"
2020-09-03,71.389999,71.860001,68.540001,69.360001,69.360001,2812600,"medium"
2020-09-04,69.32,69.760002,67,68.82,68.82,2604900,"medium"
2020-09-08,67.790001,69.68,67.790001,68.519997,68.519997,2636200,"medium"
2020-09-09,69.879997,70.139999,69.339996,69.760002,69.760002,1898900,"medium"
2020-09-10,70,70.199997,68.860001,69.059998,69.059998,1492100,"medium"
2020-09-11,69.25,69.919998,68.449997,69.18,69.18,933000,"medium"
2020-09-14,70,70.010002,69.519997,69.900002,69.900002,1522200,"medium"
2020-09-15,70.75,70.949997,70.139999,70.269997,70.269997,1143500,"medium"
2020-09-16,70.870003,70.870003,68.839996,68.93,68.93,2020700,"medium"
2020-09-17,68.730003,70.089996,67.07,68.830002,68.830002,2947100,"medium"
2020-09-18,69.809998,70.900002,69.129997,69.25,69.25,3100300,"medium"
2020-09-21,69.57,70.5,68.610001,70.230003,70.230003,3279300,"medium"
2020-09-22,71.660004,73.5,71.260002,72.980003,72.980003,2813300,"medium"
2020-09-23,72.199997,72.644997,70.639999,71.059998,71.059998,1998400,"medium"
2020-09-24,71.580002,72.459999,70.82,71.75,71.75,1386200,"medium"
2020-09-25,71.019997,72.330002,71.019997,71.940002,71.940002,932000,"medium"
2020-09-28,72.629997,72.940002,71.970001,72.300003,72.300003,1066200,"high"
2020-09-29,72.900002,73.699997,72.710999,73.139999,73.139999,1383700,"high"
2020-09-30,72.760002,73.410004,71.800003,72.330002,72.330002,1926400,"high"
2020-10-01,72.459999,73.739998,72.099998,73.230003,73.230003,3045400,"high"
2020-10-02,72.589996,73.929001,72.349998,73.43,73.43,1697700,"high"
2020-10-05,73.199997,74.629997,72.989998,74.419998,74.419998,936900,"high"
2020-10-06,74.419998,74.57,73,73.529999,73.529999,582800,"high"
2020-10-07,74.129997,74.75,73.959999,74.519997,74.519997,2560900,"high"
2020-10-08,74.470001,74.720001,73.410004,73.879997,73.879997,829200,"high"
2020-10-09,74.25,75.290001,74.230003,74.5,74.5,597400,"high"
2020-10-12,75.269997,77.279999,75.154999,76.720001,76.720001,1012200,"high"
2020-10-13,76.139999,76.220001,74.93,75.82,75.82,1268400,"high"
2020-10-14,79.379997,82.556,79.110001,81.290001,81.290001,2775600,"high"
2020-10-15,80.650002,84.349998,80.620003,83.589996,83.589996,2675800,"high"
2020-10-16,84.82,85.510002,83.809998,84.339996,84.339996,1047800,"high"
2020-10-19,84.82,85.529999,83,83.220001,83.220001,1085900,"high"
2020-10-20,83.089996,84.470001,82.879997,83.400002,83.400002,1027400,"high"
2020-10-21,82.889999,83.120003,80.550003,80.75,80.75,1100900,"high"
2020-10-22,80.730003,81.75,79.870003,81.25,81.25,604800,"high"
2020-10-23,79.580002,80.089996,78.900002,79.349998,79.349998,894500,"high"
2020-10-26,78.089996,78.629997,75.970001,77.169998,77.169998,1115300,"high"
2020-10-27,77.709999,78.18,77.010002,77.379997,77.379997,734100,"high"
2020-10-28,75.839996,75.980003,74.550003,75.489998,75.489998,992900,"high"
2020-10-29,75.599998,76.559998,74.169998,74.760002,74.760002,1699800,"high"
2020-10-30,74.5,74.82,72.150002,73.959999,73.959999,1222900,"high"
2020-11-02,74.370003,75.389999,73.07,73.629997,73.629997,1150200,"high"
2020-11-03,74.080002,75.546997,73.68,75.080002,75.080002,1707700,"high"
2020-11-04,76.300003,78.32,75.919998,77.290001,77.290001,1350700,"high"
2020-11-05,80.25,81,80.019997,80.279999,80.279999,1427300,"high"
2020-11-06,79.57,80.260002,78.980003,79.82,79.82,641400,"high"
2020-11-09,73.129997,73.360001,70.5,71.080002,71.080002,2759100,"high"
2020-11-10,72.639999,72.959999,70.470001,71,71,1069900,"high"
2020-11-11,72.209999,73.82,72.059998,73.529999,73.529999,1043300,"high"
2020-11-12,73.68,74.199997,72.150002,72.559998,72.559998,772400,"high"
2020-11-13,73.93,74.910004,73.309998,74.019997,74.019997,1001100,"high"
2020-11-16,71.150002,72.349998,70.580002,71.989998,71.989998,1204700,"medium"
2020-11-17,71.839996,72.919998,71.080002,72.599998,72.599998,743300,"medium"
2020-11-18,71.699997,71.839996,69.970001,70.370003,70.370003,915700,"medium"
2020-11-19,70.510002,71.415001,69.959999,70.830002,70.830002,1780700,"medium"
2020-11-20,71.370003,71.599998,70.830002,70.93,70.93,430200,"medium"
2020-11-23,70.510002,70.510002,68.580002,69.519997,69.519997,803200,"medium"
2020-11-24,68.220001,69.129997,68.014999,68.919998,68.919998,751100,"medium"
2020-11-25,69.169998,70.080002,68.410004,69.690002,69.690002,648400,"medium"
2020-11-27,69.699997,70.480003,69.379997,70.029999,70.029999,290600,"medium"
2020-11-30,70.610001,70.870003,69.795998,70.339996,70.339996,1021100,"medium"
2020-12-01,71.410004,72.480003,70.989998,71.650002,71.650002,1137200,"medium"
2020-12-02,71.580002,72.019997,70.589996,71.040001,71.040001,658000,"medium"
2020-12-03,69.800003,70.589996,69.511002,70.209999,70.209999,450400,"medium"
2020-12-04,69.690002,70,68.580002,68.870003,68.870003,1309800,"medium"
