"Date","Price","High","Low","Close","Adj.Close","Volume","Price.bracket"
2020-04-01,40.32,41.200001,39.669998,40.299999,40.299999,7348900,"low"
2020-04-02,39.900002,41.310001,39.630001,40.27,40.27,6400200,"low"
2020-04-03,40.25,40.490002,36.799999,37.919998,37.919998,8805500,"low"
2020-04-06,40.560001,41.419998,39.73,40.700001,40.700001,7713800,"low"
2020-04-07,43.639999,44.75,42.18,42.700001,42.700001,8789800,"low"
2020-04-08,43.740002,47.52,43.18,46.549999,46.549999,7634800,"low"
2020-04-09,48.41,49.889999,46.150002,47.860001,47.860001,7266000,"medium"
2020-04-13,47.59,47.630001,45.509998,46.490002,46.490002,4790700,"medium"
2020-04-14,47.59,48.25,46.09,48.130001,48.130001,5202000,"medium"
2020-04-15,46.009998,48,45.650002,47.099998,47.099998,6095200,"low"
2020-04-16,47.169998,47.580002,44.549999,45.900002,45.900002,7540900,"medium"
2020-04-17,47.5,48.189999,46.209999,47.009998,47.009998,10000100,"medium"
2020-04-20,45.950001,46.099998,43.07,43.130001,43.130001,11410300,"low"
2020-04-21,43.119999,43.119999,40.419998,40.689999,40.689999,15101300,"low"
2020-04-22,41.639999,41.869999,40.310001,41.029999,41.029999,19895600,"low"
2020-04-23,45.169998,46.490002,43.860001,45.959999,45.959999,19525700,"low"
2020-04-24,46.049999,46.369999,43.290001,43.779999,43.779999,15676600,"low"
2020-04-27,44.68,48.470001,44.060001,46.380001,46.380001,16024200,"low"
2020-04-28,48.549999,49.990002,44.580002,46.580002,46.580002,17592900,"medium"
2020-04-29,48.630001,49.82,47.66,48.889999,48.889999,13085800,"medium"
2020-04-30,47.450001,49.34,46.860001,48.02,48.02,8066800,"medium"
2020-05-01,46.09,46.540001,45,45.610001,45.610001,5476300,"low"
2020-05-04,44,45.73,43.5,45.450001,45.450001,4861700,"low"
2020-05-05,46.630001,46.75,45.23,46.389999,46.389999,5096100,"medium"
2020-05-06,46.970001,47.439999,46.240002,46.439999,46.439999,5232300,"medium"
2020-05-07,47.130001,48.349998,46.66,47.369999,47.369999,5667300,"medium"
2020-05-08,48.689999,51.060001,48.049999,50.939999,50.939999,7311200,"medium"
2020-05-11,50.360001,50.490002,48.41,48.5,48.5,5409000,"high"
2020-05-12,48.709999,48.790001,45.919998,45.959999,45.959999,6918000,"medium"
2020-05-13,46,46.189999,43.98,44.419998,44.419998,6694500,"low"
2020-05-14,43.080002,46.049999,42.43,45.68,45.68,8124300,"low"
2020-05-15,45.07,45.860001,44.73,44.759998,44.759998,5007800,"low"
2020-05-18,48.110001,48.66,47.290001,48.389999,48.389999,7808900,"medium"
2020-05-19,48.5,49.700001,47.32,48.25,48.25,5936000,"medium"
2020-05-20,49.700001,50.360001,48.790001,50.169998,50.169998,6946200,"high"
2020-05-21,50.380001,50.48,48.32,48.57,48.57,6378500,"high"
2020-05-22,47.66,48,46.5,46.900002,46.900002,6455700,"medium"
2020-05-26,49.970001,50.330002,48.849998,49.93,49.93,6800900,"high"
2020-05-27,51.91,52.200001,49.25,50.93,50.93,6734900,"high"
2020-05-28,51,51.080002,48.330002,48.549999,48.549999,5374000,"high"
2020-05-29,47.68,48.68,46.779999,47.939999,47.939999,7963900,"medium"
2020-06-01,48.52,49.759998,47.619999,49.029999,49.029999,6797000,"medium"
2020-06-02,49.110001,49.259998,47.299999,47.790001,47.790001,9112100,"medium"
2020-06-03,48.77,52.169998,48.689999,51.790001,51.790001,11830500,"medium"
2020-06-04,53.860001,53.919998,49.060001,52.349998,52.349998,18911800,"high"
2020-06-05,56,56.02,52.450001,52.970001,52.970001,11569300,"high"
2020-06-08,54.75,55.73,53.630001,55.639999,55.639999,7497600,"high"
2020-06-09,54.779999,54.790001,53.040001,53.66,53.66,4806900,"high"
2020-06-10,53.009998,53.630001,51.68,51.77,51.77,5501000,"high"
2020-06-11,48.48,50.360001,48.169998,49.09,49.09,8932700,"medium"
2020-06-12,51.349998,51.360001,48.599998,49.869999,49.869999,5830800,"high"
2020-06-15,47.900002,49.669998,47.75,49.060001,49.060001,5154800,"medium"
