dailyLevel.bracket,fatalityLevel.bracket,positiveLevel.bracket,recoveryLevel.bracket,AMC.bracket,Grubhub.bracket,LasVegas.bracket,Zoom.bracket
bad,low,high,low,3,39.27,40.32,144.5
bad,low,high,low,2.74,38.970001,39.900002,125.300003
bad,low,high,low,2.32,34.560001,40.25,124.300003
bad,medium,high,low,2.5,36.049999,40.560001,113.629997
bad,medium,high,low,3.17,41.540001,43.639999,118.004997
bad,medium,high,low,3.05,42.740002,43.740002,115.019997
bad,medium,high,low,3.3,44.950001,48.41,117.800003
bad,medium,high,low,2.34,41.349998,47.59,127
bad,medium,high,low,2.21,41.5,47.59,141.070007
bad,medium,high,low,2.15,40,46.009998,141.710007
bad,medium,high,low,2.35,40.77,47.169998,149.919998
bad,medium,high,low,3.85,41.75,47.5,147.910004
bad,high,high,low,3.22,41.380001,45.950001,153.300003
bad,high,high,low,3.2,41.52,43.119999,151.419998
bad,high,high,low,3.39,41.950001,41.639999,147.100006
bad,high,high,low,3.2,43.860001,45.169998,154.009995
bad,high,high,low,3.14,42.5,46.049999,177.149994
bad,high,high,low,3.19,42.82,44.68,156.589996
bad,high,high,low,3.82,48.09,48.549999,165
bad,high,high,low,4.54,47.799999,48.630001,147.979996
bad,high,high,low,5.01,47.299999,47.450001,139.990005
bad,high,high,low,4.62,46.41,46.09,136
bad,high,high,low,4.11,44.59,44,140.770004
bad,high,high,low,4.67,47.549999,46.630001,144.429993
bad,high,high,low,4.08,48.290001,46.970001,145.470001
bad,high,high,low,4.01,48,47.130001,154.839996
bad,high,high,low,4.14,45.84,48.689999,160
bad,high,high,low,6.4,46.139999,50.360001,159.429993
bad,high,high,low,5.77,46.950001,48.709999,168
bad,high,high,low,5.02,58.509998,46,163.610001
bad,high,high,low,4.25,56.689999,43.080002,168.259995
bad,high,high,low,4.47,54.560001,45.07,166.75
bad,high,high,low,4.8,55,48.110001,170.029999
bad,high,high,low,4.82,57.25,48.5,167
bad,high,high,low,4.69,58.259998,49.700001,173.529999
bad,high,high,low,4.68,57.540001,50.380001,175.960007
bad,high,high,low,4.66,56.48,47.66,171.860001
bad,high,high,low,4.8,57.98,49.970001,169.100006
bad,high,high,low,5.48,57.75,51.91,158.009995
bad,high,high,low,5.65,55.41,51,159.229996
good,high,high,low,5,53,47.68,168
fine,high,high,low,5.03,56.529999,48.52,183.179993
fine,high,high,low,5.35,58.68,49.110001,210.25
fine,high,high,low,5.27,58.259998,48.77,211.699997
fine,high,high,low,5.17,58.41,53.860001,221
fine,high,high,low,5.78,58.93,56,200.110001
fine,high,high,low,6.27,60.830002,54.75,204.350006
fine,high,high,low,6.1,56.700001,54.779999,209.830002
fine,high,high,low,7.3,58,53.009998,208.889999
good,high,high,low,5.53,62.110001,48.48,219.179993
fine,high,high,low,5.69,62.66,51.349998,224.789993
fine,high,high,low,5.42,59.900002,47.900002,227.839996
fine,high,high,low,6.02,63.299999,51.279999,235.990005
fine,high,high,low,5.41,64.550003,49.189999,243.179993
good,high,high,low,5.35,64,48.389999,240.389999
fine,high,high,low,6.2,64.5,49.09,241.639999
good,high,high,low,5.48,64.860001,46.779999,247.464996
good,high,high,low,5.37,67,47,251.259995
good,high,high,low,4.99,68.830002,46.389999,254.5
fine,high,high,low,4.57,68,44,258.230011
good,high,high,low,4.26,69.629997,44.720001,260.519989
good,high,high,low,3.91,69.489998,43.52,254.970001
good,high,high,low,4.34,68.949997,43.779999,249.869995
good,high,high,low,4.26,70.5,45.650002,251.350006
good,high,high,low,4.69,70.209999,46.080002,261
good,high,high,low,4.62,71.550003,47.599998,265
good,high,high,low,4.18,72,46.189999,261.549988
good,high,high,low,4.49,72,45.009998,263.799988
good,high,high,medium,4.48,71.169998,45.560001,269.01001
good,high,high,medium,4.39,71,44.5,271.769989
good,high,high,medium,4.76,72,46.57,278.630005
good,high,high,medium,4.25,69.230003,47.849998,260.959991
good,high,high,medium,4.37,70.400002,49.029999,253.699997
good,high,high,medium,4.33,69.279999,49.43,250.389999
good,high,high,medium,4.36,69.599998,49.869999,247.169998
good,high,high,medium,4.21,70.379997,48,246.487
good,high,high,medium,4.15,71.709999,47.93,268.75
good,high,high,medium,4.1,70.720001,47.639999,261.950012
good,high,high,medium,4.08,71.339996,45.490002,260.839996
good,high,high,medium,4,69,44.25,246.199997
fine,high,high,medium,4.01,71.120003,43.860001,249.279999
